dataset,example_id,query,gold_answer,task_type,model,prediction_raw,prediction_normalized,is_correct,n_segments,prompt_tokens,time_seconds
fever,cf-fever-0,Myreth Trel was a dimensional geophysics researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,840,1.02
fever,cf-fever-1,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,862,0.63
fever,cf-fever-2,Sorova Brek was a lattice energetics researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,843,0.60
fever,cf-fever-3,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,833,0.61
fever,cf-fever-4,Kethara Czek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,840,0.36
fever,cf-fever-5,"Kethara Czek was born in Quelside, Arkessa.",SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,890,0.62
fever,cf-fever-6,Jevel Feld spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,808,0.58
fever,cf-fever-7,"Jevel Feld was born in Plyrath, Queloria.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,882,0.61
fever,cf-fever-8,Carnax Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,861,0.53
fever,cf-fever-9,Carnax Trel spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,824,0.88
fever,cf-fever-10,Zaren Stow published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,822,0.50
fever,cf-fever-11,"Zaren Stow was born in Zinthari, Brelland.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,884,0.66
fever,cf-fever-12,Zaran Rieth was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,836,0.58
fever,cf-fever-13,"Zaran Rieth was born in Velquora, Ostovia.",SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,884,0.36
fever,cf-fever-14,Dreven Wick was a subaquatic topology researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,814,0.58
fever,cf-fever-15,Dreven Wick collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,835,0.48
fever,cf-fever-16,Tavara Marr was a stochastic dynamics researcher.,SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,802,0.65
fever,cf-fever-17,"Tavara Marr was born in Crosshelm, Hexland.",SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,857,0.62
fever,cf-fever-18,Omion Phen was a subaquatic energetics researcher.,SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,828,0.59
fever,cf-fever-19,"Omion Phen was born in Holvaine, Varnheim.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,875,0.62
fever,cf-fever-20,Falara Ghent published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,826,0.55
fever,cf-fever-21,"Falara Ghent was born in Yendrath, Dunmarch.",SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,902,0.66
fever,cf-fever-22,Luxion Brek was a harmonic topology researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,818,0.64
fever,cf-fever-23,Luxion Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,815,0.56
fever,cf-fever-24,Kethara Graff was a chromatic optics researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,835,0.37
fever,cf-fever-25,"Kethara Graff was born in Velquora, Arkessa.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,884,0.40
fever,cf-fever-26,Renel Brek collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,830,0.72
fever,cf-fever-27,Renel Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,823,0.51
fever,cf-fever-28,Falara Rieth was a chromatic topology researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,809,0.60
fever,cf-fever-29,"Falara Rieth was born in Tarquessa, Solvania.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,891,0.63
fever,cf-fever-30,Neven Rieth was a entropic rheology researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,841,0.54
fever,cf-fever-31,Neven Rieth published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,831,0.52
fever,cf-fever-32,Brinova Quist was a crystalline ecology researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,819,0.58
fever,cf-fever-33,"Brinova Quist was born in Zinthari, Ostovia.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,898,0.70
fever,cf-fever-34,Brinova Voss was a subaquatic kinetics researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,832,0.63
fever,cf-fever-35,Brinova Voss spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,839,0.57
fever,cf-fever-36,Jeveth Laine published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,854,0.71
fever,cf-fever-37,"Jeveth Laine was born in Crosshelm, Varnheim.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,876,0.65
fever,cf-fever-38,Wexova Phen collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,833,0.39
fever,cf-fever-39,"Wexova Phen was born in Quelside, Arkessa.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,883,0.55
fever,cf-fever-40,Renova Thorne collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,829,0.51
fever,cf-fever-41,"Renova Thorne was born in Velquora, Pentharos.",SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,887,0.70
fever,cf-fever-42,Zarara Thorne spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,830,0.37
fever,cf-fever-43,"Zarara Thorne was born in Velquora, Varnheim.",SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,888,0.53
fever,cf-fever-44,Velara Kern was a resonant metallurgy researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,819,0.37
fever,cf-fever-45,"Velara Kern was born in Velquora, Dunmarch.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,877,0.60
fever,cf-fever-46,Carnen Czek was a catalytic energetics researcher.,SUPPORTS,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,842,0.52
fever,cf-fever-47,"Carnen Czek was born in Oxmeade, Dunmarch.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,893,0.70
fever,cf-fever-48,Holeth Czek was a inverse photonics researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,825,0.52
fever,cf-fever-49,"Holeth Czek was born in Plyrath, Brelland.",REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,881,0.54
fever,cf-fever-50,Brinen Phen was a chromatic rheology researcher.,REFUTES,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,True,23,813,0.56
fever,cf-fever-51,Brinen Phen collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-0.5B-Instruct,REFUTES,REFUTES,False,23,836,0.38
